Product Name:,Brand Name,price,final,save,Descrption,Specification,how to use
"Fresho Farm Eggs - Brown, Medium, Antibiotic Residue-Free, 6 pcs  ",Fresho,MRP: Rs 85, Price:Rs 79,You Save: 7%,"About the Product

Number of PcsSize6 pcsMediumEggs are one of the common food items in most of the households. From breakfast to dinner, eggs are indulged in various ways. Poached, boiled, fried; we all have our own favourite choices. Not only are they delicious, but they are also crammed with health benefits. It is one of the most in-expensive sources of high protein. These are one of nature's most wholesome and cost-effective foods. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. The Add-on Benefits of Fresho Egg: •Antibiotic free •Free from growth hormones •Carefully selected •Rich in omega 3 Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 1 pcCalories (Kcal)Protein (g)Fat (g)Choles (mg)Sodium (mg)87.57.55237.571.5Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Chicken Drumstick - Without Skin, Antibiotic Residue-Free, 4-6 pcs, 500 g  ",Fresho,MRP: Rs 499, Price:Rs 175,You Save: 65%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 g4-63-4 people0-4 deg celChicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamin, mineral and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. This tender, juicy, without skin drumstick, gets flabbier once cooked. This is one of the most go-to pieces of a chicken, as it is really easy to cook. One can come with a countless culinary method to cook this deliciousness. Savoury, sweet, spicy: there are more than a hundred recipes to cook a drumstick. This scrumptious chicken pieces come in 4-6 in numbers which are perfect for 3-4 people. The Add-on Benefits of Fresho Chicken: • Free from antibiotic residue • No growth hormone Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)11920.63.4Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Country (Desi) Eggs - Small, Antibiotic Residue-Free, 4x6 pcs Multipack ",Fresho,MRP: Rs 340, Price:Rs 300,You Save: 12%,"About the Product

Country eggs are rich in protein, calcium and improve immunity, These eggs are ideal for the health of women. These country eggs are collected from the village side. The eggs are procured from country hens who are not given any antibiotics or vaccines but only natural feeds.These are one of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method curry eggs can be finished in so many unique tasty ways.An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.
","Other Product Info

            EAN Code: _1205935  Country of origin: India_  Sourced & Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071   FSSAI Number: 10019043002767

 Best before 18-09-2021  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
        ",NAN
"Fresho Chicken Leg - Without Skin, Antibiotic Residue-Free, 250 g  ",Fresho,MRP: Rs 155, Price:Rs 119,You Save: 23%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp250 g2-32-3 people0-4 deg celChicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamin, mineral and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. This whole chicken leg without skin comes 2-3 pieces that are sufficient for 2-3 people. This super tender, succulent, and very flavorful pieces are an excellent source of iron and zinc. This is perfect for curries, biriyanis and barbeque. The Add-on Benefits of Fresho Chicken: • Free from antibiotic residue • No growth hormone Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)38419.412.64Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"UPF Healthy Brown Eggs, 6 pcs  ",UPF,MRP: Rs 80, Price:Rs 72,You Save: 10%,"About the Product

UPF Brown Eggs are fresh and clean eggs produced from the vegetarian feed. These are infertile. Brown eggs are the natural sources of Omega-3 fatty acids.
","Nutritional Facts

            Per 100 gm (Approximate):                                                           
Protein- 12  g, Fat - 8.39 g, Total Carbohydrates - 5.60 g, Energy - 145.80 Kcal, Cholesterol -230/42 mg,   Calcium- 69.70 mg,  Iron- 1.60  mg, Sodium - 120.60 mg.
        ","How to Use

            Best before 20 days  from the date of packing. Can be use as omelettes, boiled eggs and in any of the dozen egg recipe.
        "
"Fresho Basa Fish Fillet - Preservative Free, 500 g (Gross Fish Weight 1.05-1.1 kg, Net Weight After Cleaning 500 g) ",Fresho,MRP: Rs 409, Price:Rs 294,You Save: 28%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 gNA2-3 people0-4 deg celBasa is a catfish which is light in colour and has a firm texture. Enriched in protein, it contains low fat making it perfect for your diet. These Fresho Basa boneless fillets are great for grilling, frying, barbecuing or for curries. This is perfect for 2-3 people. It is  preservative-free. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)12517.85.5Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Tilapia Fish Whole Cleaned - Preservative Free, 4-6 pcs, 500 g (Gross Fish Weight 650-700 g, Net Weight After Cleaning 500 g) ",Fresho,MRP: Rs 155, Price:Rs 73,You Save: 53%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 g4-64-5 people0-4 deg celTilapia is a freshwater fish which is commonly made in Indian’s kitchen. It has a mild fishy flavour. Packed with protein and nutrients, it is rich in niacin, vitamin B12, phosphorus, selenium and potassium. This whole cleaned tilapia fish comes with the head. It is cleaned and gutted. This comes in 4-6 pcs which are perfect for 4-5 people. It is  preservative free. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)8318.481.08Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Chicken Curry Cut - With Skin, Antibiotic Residue-Free, 12-14 pcs, 500 g  ",Fresho,MRP: Rs 199, Price:Rs 109,You Save: 45%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 g12-142-3 people0-4 deg celChicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamin, mineral and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. This scrumptious with skin chicken pieces come in 12-14 in numbers which are perfect for 2-3 people. The Add-on Benefits of Fresho Chicken: • Free from antibiotic residue • No growth hormone Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)12421.574.08Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Catla Fish - Large, Curry Cut/Bengali Cut, Preservative Free, 12-15 pcs, 1 kg (Gross Fish Weight 1.4-1.5 kg, Net Weight After Cleaning 1 kg) ",Fresho,MRP: Rs 659, Price:Rs 329.50,You Save: 50%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp1 kg12-154-5 people0-4 deg celCatla fish with head & tail pieces is a tender and delicious meat which is high in protein and is great for heart health. Rich in Omega 3 fatty acids and other essential nutrients like iodine, selenium, zinc, this fish is good for overall health. This curry cut catla fish comes with the head. It is cleaned and gutted. This comes in 12-15 pcs which are perfect for 4-5 people. It is  preservative-free. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)9417.92.15Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Prawns, Peeled & Deveined, 500 g (Gross Fish Weight 1-1.1 kg, Net Weight After Cleaning 500 g) ",Fresho,MRP: Rs 909, Price:Rs 400,You Save: 56%,"About the Product

            Product weighed before cleaning and cutting. White Prawns are extraordinary for tender texture, their size and their mild aroma. They are great for Louisiana BBQ shrimp, shrimp boils and other preparations where they can infuse in the flavors of the dish and their feel really stands out. A 100 g serving of white tiger prawns has only 148 mg of sodium, 152 mg of cholesterol and 1.5 grams of fat, 20 grams of protein and 106 calories.
        ","Other Product Info

            EAN Code: 40033805  Country of origin: India  Manufacturer Name and Address: Planet ocean, #23/1, Opp Polce statin, Madivala, Hosur Road, Bangalore -560090  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767
 Best before 2 days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
        ",NAN
"Fresho White Prawns - Medium, Unpeeled, 30-40 pcs, 500 g (Gross Weight 600-650 g, Net Weight After Cleaning 500 g) ",Fresho,MRP: Rs 870, Price:Rs 299,You Save: 66%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 g30-403-4 people0-4 deg celPrawns are full of nutrients. They are packed with protein and low in carbohydrate. It helps to build muscle and aids in weight-loss. The Fresho medium sea water white prawns can be used instantly to cook a variety of delicious dishes without going through the pain of cleaning and deveining them. These are seawater prawn are unpeeled. Their firm meat is easy to cook whether you are preparing curries, fried snacks, or grilled items. This comes in 30-40 pieces which are perfect for 3-4 people. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)9119.240.52Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Farm Made Eggs - Free Range, 6 pcs  ",Farm Made,MRP: Rs 130, Price:Rs 117,You Save: 13,"About the Product

Our infertile free range eggs are produced using traditional farming methods, ensuring highest animal protection standards. Our hens are pasture raised and humanely treated. These eggs do not contain antibiotics, growth promoters, hormones or any such substances.Our eggs are rich in omega 3, protein and vitamins. These hens enjoy a lot of free space, a lot of greens to feed on, a spacious place to rest along with areas for playing and a lot of fresh air. It is 100% natural free range eggs.
","Ingredient

100% Natural Free-Range Eggs.
","Nutritional Facts

            Per 100 g, Total omega 3 Fatty acid - 314 mg, Protein- 11.75 g, Total Fat - 8.89 g, Energy - 80.01 Kcal, Carbohydrates- 3.99 g, Phosphorous - 182. 25 mg, Sugars - 0.0 g, Calcium- 43.5 mg, Iron- 2.19 mg.
        "
"CP EVERYDAY Eggs - White, 12 pcs  ",CP EVERYDAY,NAN, MRP:Rs 120,NAN,"About the Product

CP Eggs are a natural source of high-quality protein which helps to sustain mental and physical energy throughout the day. CP Eggs consist of 13.16 gm of protein in every 100 gm of an egg.These are one of nature's most wholesome and cost-effective foods. A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there!You can have them for breakfast, lunch, dinner and even as in-between snacks. 
","Ingredients

            Eggs
        ","Nutritional Facts

            Per 100g, Energy 150Kcal, Fat 9.80g, Carbohydrates 1.61g, Protein 13.82g, Vitamin A 1531 IU, Iron 1.66mg.
        "
"Fresho Frozen Prawns - Medium, 250 g Pouch ",Fresho,MRP: Rs 230, Price:Rs 202.40,You Save: 12%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp250 g20-302-4 people0-4 deg celPrawns are full of nutrients. They are packed with protein and low in carbohydrate. It helps to build muscle and aids in weight-loss. The Fresho seawater prawns can be used instantly to cook a variety of delicious dishes without going through the pain of cleaning and deveining them. These are seawater prawn are peeled. Their firm meat is easy to cook whether you are preparing curries, fried snacks, or grilled items. This comes in 20-30 pieces which are perfect for 2-4 people. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Carbohydrate (g)Protein (g)Fat (g)Calcium (mg)Phosphorus (mg)Iron(mg)Potassium(mg)Sodium(mg)90.8019.20.5482340.7269849Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Chicken Mince - Antibiotic Residue Free, 500 g  ",Fresho,MRP: Rs 309, Price:Rs 189,You Save: 39%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 gNA2-3 people0-4 deg celChicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamin, mineral and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. Looking for a little cooking adventure? This minced chicken from Fresho will surely take out the chef in you. Get creative with your culinary talent with this perfectly chopped boneless chicken pieces. From your favourite subs to Indian keema, enjoy delicious dishes with Fresho minced Chicken. The quantity is perfect for 2-3 people. The Add-on Benefits of Fresho Chicken:•Free from antibiotic residue •No growth hormone Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)13519.26Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Chicken Liver - Antibiotic Residue-Free, 500 g  ",Fresho,MRP: Rs 100, Price:Rs 69,You Save: 31%,"About the Product

Net WeightNumber Of PcsServing SizeStorage Temp500 g10-124-6 people0-4 deg celChicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamin, mineral and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. Chicken liver is conserved as one of the superfoods of nature. It is packed with essential nutrients. It contains high a dose of iron and vitamin making it beneficial for the body. Chicken liver is one of the famous Indian dishes. One can make a variety of dishes with it. This comes in 10-12 pieces which are enough for 4-6 people. The Add-on Benefits of Fresho Chicken: • Free from antibiotic residue • No growth hormone Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
","Nutritional Facts

Nutritional Information**For 100 gEnergy (Kcal)Protein (g)Fat (g)12421.574.08Disclaimer: The Nutrition information provided has been curated by a certified nutritionist, however, this information is intended for reference purposes only. Bigbasket will not accept liability of any incorrect information **
","Sourcing

Bigbasket sources eggs and meat from identified farms and ports with stringent standard checks. Be it eggs, chicken, mutton, fish and all other seafood, we procure them fresh and process them in our state-of-the-art hygienic facility to assure you the best quality meat delivered at your doorstep. All the products go through various stringent checks and procedures by meat experts to certify their quality. Our butcheries process the meat, artisanally cut and proportion them ready to be packed. One of the most important things we do keep them fresh is storing them at the right temperature. Our transport vehicles are temperature-controlled to make sure the meat remains fresh and succulent. We pack the meat hygienically and store them in temperature-controlled rooms. Our delivery executives collect the meat and carry them in insulated trays covered with gel pads to keep the freshness intact until it reaches our customer's doorstep.
"
"Fresho Chicken - Soup Pieces, 900 g Pouch ",Fresho,MRP: Rs 181, Price:Rs 139,You Save: 23%,"About the Product


Fresho Meats is our in house brand of fresh meat, poultry and seafood.
We take utmost care in selecting the best suppliers to provide you with high quality and succulent products.
Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.
Chef special marination which is very authentic and has a fragnence which will delight your pallet, its a mixture of exotic flavour & Indian spices.

","Ingredients


Fresh Chicken

","How to Use


Cut and use.

"
"Fresho Pink Perch Fish - Steak/Slice, 500 g  ",Fresho,MRP: Rs 584, Price:Rs 409,You Save: 30%,"About the Product

            Fresho Meats is our in house brand of fresh meat, poultry and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.Cleaned with bones retained
        ","How to Use

            Product Net weighed After cleaning and cutting.
        ","Other Product Info

            EAN Code: 20002509  Country Of Origin: India  Manufacturer Name and Address: Planet ocean, #23/1, Opp Polce statin, Madivala, Hosur Road, Bangalore -560090  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767 Best before 2 days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
        "
"Fresho Chicken - Whole Body, 1 kg  ",Fresho,MRP: Rs 220, Price:Rs 169,You Save: 23%,"About the Product

            Fresho Meats is our in house brand of fresh meat, poultry and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.
        ","Other Product Info

            EAN Code: 40107520  Country Of Origin: India Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767 Best before 2 days from delivery date  ints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.comFor Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
        ","Variable weight policyPlease note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing."
"Fresho King Fish (Medium) - Boneless Cubes, 1 kg  ",Fresho,MRP: Rs 2729, Price:Rs 2099,You Save: 23%,"About the Product

            Fresho Meats is our in house brand of fresh meat, poultry and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.
        ","How to Use

            Product weighed before cleaning and cutting.
        ","Other Product Info

            EAN Code: 10000766  Country Of Origin: India  Manufacturer Name and Address: S B IMPEX, OLD NO:7, NEW NO:13, WEST COOVAM RIVER ROAD, CHINTADRIPET, CHENNAI-600002  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767  Best before 2 days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
        "
